strike,market_price,fem_price,abs_error,sq_error,moneyness,date,maturity,tau,S0,S_max,group_strike,sigma_calibrated
37.0,3.97,4.21152960331576,0.24152960331575946,0.05833654927786812,0.8980582524271844,2026-04-01,MAY 2026,0.12054794520547946,41.2,138.0,37.0,0.14754763242115115
37.0,4.68,4.766795581364398,0.08679558136439791,0.007533472944383818,0.8866522885214475,2026-04-02,JUN 2026,0.2136986301369863,41.73,141.0,37.0,0.14754763242115115
37.0,4.45,4.733346772298315,0.28334677229831495,0.08028539337187314,0.8866522885214475,2026-04-02,MAY 2026,0.1178082191780822,41.73,141.0,37.0,0.14754763242115115
37.0,4.52,4.272330656436517,0.2476693435634827,0.06134010374116643,0.8965350133268718,2026-04-13,MAY 2026,0.08767123287671233,41.27,138.0,37.0,0.14754763242115115
37.0,4.63,4.253328429051722,0.37667157094827797,0.1418814723606436,0.8974048023284017,2026-04-25,JUN 2026,0.1506849315068493,41.23,138.0,37.0,0.14754763242115115
37.0,4.43,4.229685609282409,0.20031439071759038,0.040125855128559464,0.8974048023284017,2026-04-25,MAY 2026,0.0547945205479452,41.23,138.0,37.0,0.14754763242115115
38.0,3.41,3.5486786215133828,0.13867862151338262,0.019231760064852027,0.9223300970873786,2026-04-01,JUN 2026,0.21643835616438356,41.2,138.0,38.0,0.176615115059062
38.0,3.12,3.3489305489075343,0.22893054890753417,0.052409196223104894,0.9223300970873786,2026-04-01,MAY 2026,0.12054794520547946,41.2,138.0,38.0,0.176615115059062
38.0,3.88,4.0436775037416055,0.1636775037416056,0.02679032523108332,0.9223300970873786,2026-04-01,SEP 2026,0.4657534246575342,41.2,150.0,38.0,0.176615115059062
38.0,3.85,4.004449450818035,0.15444945081803452,0.023854632857992462,0.910615863886892,2026-04-02,JUN 2026,0.2136986301369863,41.73,141.0,38.0,0.176615115059062
38.0,3.57,3.8368327063774954,0.26683270637749557,0.07119969319273876,0.910615863886892,2026-04-02,MAY 2026,0.1178082191780822,41.73,141.0,38.0,0.176615115059062
38.0,4.28,4.4590628467518965,0.1790628467518962,0.03206350308689307,0.910615863886892,2026-04-02,SEP 2026,0.46301369863013697,41.73,150.0,38.0,0.176615115059062
38.0,3.62,3.353164782301861,0.266835217698139,0.07120103340401324,0.9207656893627332,2026-04-13,MAY 2026,0.08767123287671233,41.27,138.0,38.0,0.176615115059062
38.0,4.29,4.037411101774439,0.25258889822556085,0.06380115150680274,0.9207656893627332,2026-04-13,SEP 2026,0.4328767123287671,41.27,150.0,38.0,0.176615115059062
38.0,3.76,3.437097360149188,0.3229026398508119,0.10426611482262314,0.9216589861751153,2026-04-25,JUN 2026,0.1506849315068493,41.23,138.0,38.0,0.176615115059062
