strike,market_price,fem_price,abs_error,sq_error,moneyness,analytic_price,analytic_abs_error,analytic_sq_error,experiment,order,cl1,cl2,theta,nsteps,sigma,r,tau,S0,S_max
39.0,2.36,2.61309541515731,0.25309541515730993,0.06405728917365107,0.9466019417475727,2.6135217598430245,0.00042634468571467465,1.817697910371447e-07,raffinement_temps_euler,2,0.05,0.05,1.0,100,0.2,0.02,0.12054794520547946,41.2,138.0
40.0,1.7,1.8871663226097344,0.18716632260973443,0.035031232319251183,0.9708737864077669,1.8882414365962106,0.001075113986476195,1.155870083916736e-06,raffinement_temps_euler,2,0.05,0.05,1.0,100,0.2,0.02,0.12054794520547946,41.2,138.0
41.0,1.16,1.2911604541742834,0.13116045417428346,0.01720306473920431,0.9951456310679611,1.2925797385810434,0.0014192844067599797,2.0143682272720274e-06,raffinement_temps_euler,2,0.05,0.05,1.0,100,0.2,0.02,0.12054794520547946,41.2,138.0
42.0,0.75,0.833678666670983,0.083678666670983,0.007002119255833482,1.0194174757281553,0.8349465307151647,0.0012678640441816658,1.6074792345286889e-06,raffinement_temps_euler,2,0.05,0.05,1.0,100,0.2,0.02,0.12054794520547946,41.2,138.0
43.0,0.47,0.5068334325706805,0.0368334325706805,0.0013567017549388674,1.0436893203883495,0.5075465363030709,0.0007131037323904188,5.08516933149146e-07,raffinement_temps_euler,2,0.05,0.05,1.0,100,0.2,0.02,0.12054794520547946,41.2,138.0
44.0,0.29,0.2898743965824602,0.00012560341753975468,1.5776218497665955e-08,1.0679611650485437,0.2899126482612271,3.8251678766865194e-05,1.4631909284834454e-09,raffinement_temps_euler,2,0.05,0.05,1.0,100,0.2,0.02,0.12054794520547946,41.2,138.0
45.0,0.18,0.15602920764582767,0.02397079235417232,0.0005745988860868462,1.0922330097087378,0.15554535099070765,0.0004838566551200185,2.3411726270393256e-07,raffinement_temps_euler,2,0.05,0.05,1.0,100,0.2,0.02,0.12054794520547946,41.2,138.0
46.0,0.11,0.07915218024490553,0.03084781975509447,0.0009515879836427967,1.116504854368932,0.07842322898694398,0.0007289512579615465,5.31369936483721e-07,raffinement_temps_euler,2,0.05,0.05,1.0,100,0.2,0.02,0.12054794520547946,41.2,138.0
36.0,4.87,5.310948095682615,0.4409480956826153,0.19443522308612485,0.8737864077669902,5.310750595671216,0.00019750001139939855,3.9006254502762554e-08,raffinement_temps_euler,2,0.05,0.05,1.0,250,0.2,0.02,0.12054794520547946,41.2,138.0
37.0,3.97,4.3547531734471745,0.3847531734471743,0.1480350044776714,0.8980582524271844,4.35455577224274,0.00019740120443412223,3.8967235512042117e-08,raffinement_temps_euler,2,0.05,0.05,1.0,250,0.2,0.02,0.12054794520547946,41.2,138.0
